"00365","CA001","OAKLAND        ","MT VIEW CM              "
"00366","CA059","ANAHEIM        ","MELROSE ABBEY M         "
"00367","CT001","BRIDGEPORT     ","DIVISION ST BG          "
"00368","IL037","DE KALB        ","OAKWOOD CM              "
"00369","MI139","FERRSBURG      ","                        "
"00370","MA017","MALDEN         ","FOREST DALE CM          "
"00371","PA051","DAWSON         ","BETHEL CM               "
"00372","CT001","BRIDGEPORT     ","PARK CM                 "
"00373","NJ023","AMBOY          ","TRINITY CHYD            "
"00374","CT005","WASHINGTON     ","GREEN CM                "
"00375","MA013","SOUTHWICK      ","SOUTH CM                "
"01698","AR111","HARRISBURG     ","FARM HILL CM            "
"00377","MA013","SPRINGFIELD    ","HILLCREST PARK          "
"00378","CT005","WOODBURY       ","NORTH CM                "
"00379","AR007","SILOAM SPRINGS ","OAKHILL CM              "
"00380","CT001","BRIDGEPORT     ","MOUNTAIN GROVE          "
"00381","CT011","STONINGTON     ","ELM GROVE CM            "
"00382","CT005","LITCHFIELD     ","WEST CM                 "
"00383","NJ041","OXFORD         ","PRESBY CHYD             "
"00384","NY059","FARMINGDALE    ","LONG ISLAND NATL CM     "
"00385","MA017","WINCHECTER     ","WILDWOOD CM             "
"00386","PA103","WESTFALL TWP   ","ROSE FARM               "
"00387","PA101","PHILADELPHIA   ","ST JOHN'S CHYD          "
"00388","NY007","PORT CRANE     ","METH CHYD               "
"00389","CT005","COLEBROOK      ","CENTER CM               "
"00390","CT005","PLYMOUTH       ","NORTHBURY CM            "
"00391","CA067","SACRAMENTO     ","CITY CM                 "
"00392","CA067","SACRAMENTO     ","MASONIC LAWN CM         "
"00393","CA067","SACRAMENTO     ","EAST LAWN CM            "
"00394","MI025","BATTLE CR      ","OAK HILL CM             "
"00395","OR065","THE DALLES     ","IOOF CM                 "
"00396","ID001","BOISE          ","MORRIS HILL CM          "
"00397","CT009","N BRANFORD     ","CONG CHYD               "
"00398","CT009","N HAVEN        ","MONTOWESE CM            "
"00399","CT009","W HAVEN        ","CONG CHYD               "
